,name,last_name,stance,wins,losses,SLpM,fights,tko_win_ratio
2,David,Abbott,Switch,10,15,1.35,25,0.62
3,Shamil,Abdurakhimov,Orthodox,20,6,2.53,26,0.4
14,Israel,Adesanya,Switch,22,1,3.84,23,0.36
26,Omari,Akhmedov,Orthodox,21,6,2.97,27,0.22
27,Yoshihiro,Akiyama,Orthodox,14,6,3.1,20,0.36
42,Iuri,Alcantara,Southpaw,35,10,2.72,45,0.36
46,Irene,Aldana,Orthodox,13,6,5.61,19,0.33
49,Jose,Aldo,Orthodox,31,7,3.61,38,0.52
50,JJ,Aldrich,Southpaw,10,4,4.05,14,0.0
52,John,Alessio,Orthodox,35,17,2.1,52,0.0
65,Arnold,Allen,Southpaw,17,1,2.96,18,0.0
66,Brendan,Allen,Orthodox,18,5,4.39,23,0.14
68,Ricardo,Almeida,Orthodox,13,5,2.02,18,0.0
70,Thomas,Almeida,Southpaw,22,5,4.84,27,0.8
82,Eddie,Alvarez,Orthodox,29,6,4.32,35,0.5
85,Thiago,Alves,Orthodox,23,15,3.73,38,0.53
88,Warlley,Alves,Orthodox,15,5,3.07,20,0.38
90,Sam,Alvey,Southpaw,33,17,3.3,50,0.5
92,Adlan,Amagov,Orthodox,14,2,3.29,16,0.6
98,Makwan,Amirkhani,Southpaw,16,7,1.37,23,0.17
101,Eryk,Anders,Southpaw,14,6,3.16,20,0.5
105,Corey,Anderson,Orthodox,14,5,4.43,19,0.3
109,Jessica,Andrade,Orthodox,22,9,6.24,31,0.38
118,Magomed,Ankalaev,Orthodox,16,1,3.6,17,0.57
124,Shinya,Aoki,Southpaw,39,7,0.97,46,0.08
130,Felipe,Arantes,Orthodox,18,10,2.37,28,0.2
133,Julio,Arce,Southpaw,17,5,4.14,22,0.6
137,Andrei,Arlovski,Orthodox,33,20,3.72,53,0.46
140,Ricardo,Arona,Orthodox,14,5,1.66,19,0.25
160,Raphael,Assuncao,Orthodox,27,9,3.2,36,0.14
163,Olivier,Aubin-Mercier,Southpaw,11,5,2.48,16,0.14
166,Marcus,Aurelio,Orthodox,22,10,1.42,32,0.2
182,Seth,Baczynski,Orthodox,20,14,3.08,34,0.2
183,Ryan,Bader,Orthodox,23,5,2.82,28,0.33
202,Antonio,Banuelos,Orthodox,20,11,2.69,31,0.0
203,Renan,Barao,Orthodox,34,9,3.78,43,0.18
205,Maycee,Barber,Switch,9,2,4.67,11,0.8
206,Bryan,Barberena,Southpaw,16,8,5.44,24,0.43
207,Edson,Barboza,Orthodox,22,10,4.11,32,0.5
208,Raoni,Barcelos,Orthodox,16,3,5.98,19,0.4
214,Josh,Barnett,Orthodox,35,8,3.2,43,0.33
218,Phil,Baroni,Orthodox,15,18,2.77,33,0.71
228,Pat,Barry,Orthodox,8,7,2.72,15,0.8
230,Enrique,Barzola,Orthodox,17,5,3.91,22,0.0
249,Mirsad,Bektic,Orthodox,13,4,2.43,17,0.33
251,Alan,Belcher,Orthodox,18,8,2.7,26,0.56
252,Vitor,Belfort,Southpaw,26,14,1.59,40,0.67
256,Joseph,Benavidez,Southpaw,28,8,3.52,36,0.29
260,Gabriel,Benitez,Southpaw,22,11,4.6,33,0.33
273,Dennis,Bermudez,Orthodox,17,9,4.42,26,0.1
295,Michael,Bisping,Orthodox,30,9,4.33,39,0.52
299,Jan,Blachowicz,Orthodox,28,9,3.59,37,0.36
308,Curtis,Blaydes,Orthodox,15,3,3.44,18,0.5
313,Mark,Bocek,Orthodox,12,5,2.34,17,0.0
317,Tim,Boetsch,Orthodox,21,13,2.93,34,0.58
322,Jerry,Bohlander,Orthodox,11,4,0.0,15,0.0
331,Stephan,Bonnar,Orthodox,15,9,2.76,24,0.25
333,Ray,Borg,Orthodox,13,5,1.52,18,0.0
352,Brian,Bowles,Orthodox,10,3,2.36,13,0.29
359,Sean,Brady,Orthodox,15,0,3.91,15,0.0
364,Diego,Brandao,Orthodox,22,11,2.94,33,0.33
368,Tom,Breese,Southpaw,12,3,3.34,15,0.8
388,Matt,Brown,Orthodox,25,18,3.68,43,0.75
389,Mike,Brown,Orthodox,26,9,2.98,35,0.25
395,Randy,Brown,Orthodox,14,4,4.21,18,0.25
399,Travis,Browne,Orthodox,18,7,2.93,25,0.78
406,Derek,Brunson,Southpaw,23,8,3.5,31,0.41
419,Paul,Buentello,Orthodox,35,17,3.29,52,0.75
425,Shane,Burgos,Orthodox,14,3,7.95,17,0.29
426,Joshua,Burkman,Orthodox,28,16,2.69,44,0.17
431,Gilbert,Burns,Orthodox,20,4,3.12,24,0.23
440,Murilo,Bustamante,Orthodox,15,8,1.33,23,0.29
455,Alex,Caceres,Southpaw,19,12,4.14,31,0.07
462,Cynthia,Calvillo,Orthodox,9,4,4.27,13,0.0
466,Chris,Camozzi,Orthodox,24,13,3.57,37,0.22
483,Jared,Cannonier,Switch,15,5,3.76,20,0.75
491,Gina,Carano,Orthodox,7,1,4.5,8,0.43
493,Bryan,Caraway,Orthodox,21,9,2.53,30,0.0
497,Chris,Cariaso,Southpaw,17,8,3.35,25,0.09
501,Antonio,Carlos Junior,Orthodox,11,5,1.95,16,0.0
503,Francis,Carmont,Orthodox,25,12,2.22,37,0.0
504,Liz,Carmouche,Orthodox,13,7,2.78,20,0.29
519,Shane,Carwin,Orthodox,12,2,4.38,14,1.0
522,Cortney,Casey,Orthodox,10,9,4.46,19,0.17
530,Danny,Castillo,Orthodox,17,10,2.57,27,0.42
537,Rafael,Cavalcante,Orthodox,12,7,2.71,19,1.0
540,Henry,Cejudo,Orthodox,16,2,3.92,18,0.4
542,Donald,Cerrone,Orthodox,36,16,4.43,52,0.34
559,Macy,Chiasson,Orthodox,8,2,4.04,10,0.4
560,Michael,Chiesa,Southpaw,18,6,1.88,24,0.0
561,Giga,Chikadze,Orthodox,14,3,4.05,17,0.43
569,Ryo,Chonan,Orthodox,22,13,2.57,35,0.0
570,Katlyn,Chookagian,Orthodox,17,4,4.59,21,0.0
582,Misha,Cirkunov,Orthodox,15,8,3.87,23,0.17
589,Devin,Clark,Orthodox,12,6,3.13,18,0.0
593,Rich,Clementi,Southpaw,45,23,1.43,68,0.0
610,Mark,Coleman,Orthodox,16,10,1.88,26,0.44
614,Jake,Collier,Orthodox,13,6,5.59,19,0.2
